Date,Open,High,Low,Close
12/1/2020,"29,797.50","30,637.47","29,599.29","30,606.48"
11/1/2020,"26,691.28","30,116.51","26,691.28","29,638.64"
10/1/2020,"27,940.63","28,957.90","26,143.77","26,501.60"
9/1/2020,"28,439.61","29,199.35","26,537.01","27,781.70"
8/1/2020,"26,542.32","28,733.35","26,534.38","28,430.05"
7/1/2020,"25,879.38","27,071.33","25,523.51","26,428.32"
6/1/2020,"25,342.99","27,580.21","24,843.18","25,812.88"
5/1/2020,"24,120.78","25,758.79","22,789.62","25,383.11"
4/1/2020,"21,227.38","24,764.77","20,735.02","24,345.72"
3/1/2020,"25,590.51","27,102.34","18,213.65","21,917.16"
2/1/2020,"28,319.65","29,568.57","24,681.01","25,409.36"
1/1/2020,"28,638.97","29,373.62","28,169.53","28,256.03"
12/1/2019,"28,109.74","28,701.66","27,325.13","28,538.44"
11/1/2019,"27,142.95","28,174.97","27,142.95","28,051.41"
10/1/2019,"26,962.54","27,204.36","25,743.46","27,046.23"
9/1/2019,"26,198.26","27,306.73","25,978.22","26,916.83"
8/1/2019,"26,879.86","27,175.59","25,339.60","26,403.28"
7/1/2019,"26,805.86","27,398.68","26,616.21","26,864.27"
6/1/2019,"24,830.16","26,907.37","24,680.57","26,599.96"
5/1/2019,"26,639.06","26,689.39","24,809.51","24,815.04"
4/1/2019,"26,075.10","26,695.96","26,062.59","26,592.91"
3/1/2019,"26,019.67","26,155.98","25,208.00","25,928.68"
2/1/2019,"25,025.31","26,241.42","24,883.04","25,916.00"
1/1/2019,"23,058.61","25,109.62","22,638.41","24,999.67"
12/1/2018,"25,779.57","25,980.21","21,712.53","23,327.46"
11/1/2018,"25,142.08","26,277.82","24,268.74","25,538.46"
10/1/2018,"26,598.36","26,951.81","24,122.23","25,115.76"
9/1/2018,"25,916.07","26,769.16","25,754.32","26,458.31"
8/1/2018,"25,461.63","26,167.94","24,965.77","25,964.82"
7/1/2018,"24,161.53","25,587.24","24,077.56","25,415.19"
6/1/2018,"24,542.09","25,402.83","23,997.21","24,271.41"
5/1/2018,"24,117.29","25,086.49","23,531.31","24,415.84"
4/1/2018,"24,076.60","24,858.97","23,344.52","24,163.15"
3/1/2018,"25,024.04","25,449.15","23,509.06","24,103.11"
2/1/2018,"26,083.04","26,306.70","23,360.29","25,029.20"
1/1/2018,"24,809.35","26,616.71","24,741.70","26,149.39"
12/1/2017,"24,305.40","24,876.07","23,921.90","24,719.22"
11/1/2017,"23,442.90","24,327.82","23,242.75","24,272.35"
10/1/2017,"22,423.47","23,485.25","22,416.00","23,377.24"
9/1/2017,"21,981.77","22,419.51","21,709.63","22,405.09"
8/1/2017,"21,961.42","22,179.11","21,600.34","21,948.10"
7/1/2017,"21,392.30","21,929.80","21,279.30","21,891.12"
6/1/2017,"21,030.55","21,535.03","20,994.22","21,349.63"
5/1/2017,"20,962.73","21,112.32","20,553.45","21,008.65"
4/1/2017,"20,665.17","21,070.90","20,379.55","20,940.51"
3/1/2017,"20,957.29","21,169.11","20,412.80","20,663.22"
2/1/2017,"19,923.81","20,851.33","19,831.09","20,812.24"
1/1/2017,"19,872.86","20,125.58","19,677.94","19,864.09"
