Date,Open,High,Low,Close
12/31/2020,30283.23,30637.47,30274.24,30606.48
12/24/2020,30159.00,30304.14,29755.53,30199.87
12/18/2020,30123.91,30343.59,29849.15,30179.05
12/11/2020,30233.03,30319.70,29820.84,30046.37
12/4/2020,29854.51,30218.26,29463.64,30218.26
11/27/2020,29332.82,30116.51,29332.82,29910.37
11/20/2020,29672.36,29964.29,29228.38,29263.48
11/13/2020,29467.90,29933.83,28902.13,29479.81
11/6/2020,26691.28,28495.05,26691.28,28323.40
10/30/2020,28185.82,28185.82,26143.77,26501.60
10/23/2020,28633.55,28711.93,28040.18,28335.57
10/16/2020,28671.12,28957.90,28181.54,28606.31
10/9/2020,27825.42,28676.29,27728.03,28586.90
10/2/2020,27362.14,28041.46,27338.09,27682.81
9/25/2020,27484.71,27484.71,26537.01,27173.96
9/18/2020,27718.74,28364.77,27487.97,27657.42
9/11/2020,27925.23,28206.21,27447.08,27665.64
9/4/2020,28643.66,29199.35,27664.68,28133.31
8/28/2020,28077.58,28733.35,28041.75,28653.87
8/21/2020,27970.05,27999.81,27526.25,27930.33
8/14/2020,27488.21,28154.88,27488.21,27931.02
8/7/2020,26542.32,27456.24,26534.38,27433.48
7/31/2020,26447.67,26625.46,25992.28,26428.32
7/24/2020,26660.29,27035.24,26402.86,26469.89
7/17/2020,26225.07,27071.33,25994.98,26671.95
7/10/2020,25996.08,26297.53,25523.51,26075.30
7/2/2020,25152.45,26204.41,25096.16,25827.36
6/26/2020,25865.08,26314.97,24971.03,25015.55
6/19/2020,25270.39,26611.03,24843.18,25871.46
6/12/2020,27232.93,27580.21,25078.41,25605.54
6/5/2020,25342.99,27338.30,25220.66,27110.98
5/29/2020,24781.84,25758.79,24781.84,25383.11
5/22/2020,24059.98,24718.46,24059.98,24465.16
5/15/2020,24256.45,24382.09,22789.62,23685.42
5/8/2020,23581.55,24349.90,23361.16,24331.32
5/1/2020,23866.15,24764.77,23645.30,23723.69
4/24/2020,24095.10,24108.69,22941.88,23775.27
4/17/2020,23698.93,24264.21,23095.35,24242.49
4/9/2020,21693.63,24008.99,21693.63,23719.37
4/3/2020,21678.22,22480.37,20735.02,21052.53
3/27/2020,19028.36,22595.06,18213.65,21636.78
3/20/2020,20917.53,21768.28,18917.46,19173.98
3/13/2020,24992.36,25020.99,21154.46,23185.62
3/6/2020,25590.51,27102.34,25226.62,25864.78
2/28/2020,28402.93,28402.93,24681.01,25409.36
2/21/2020,29282.78,29409.09,28892.70,28992.41
2/14/2020,28995.66,29568.57,28995.66,29398.08
2/7/2020,28319.65,29408.05,28319.65,29102.51
1/31/2020,28542.49,28944.24,28169.53,28256.03
1/24/2020,29269.05,29341.21,28843.31,28989.73
1/17/2020,28869.01,29373.62,28819.43,29348.10
1/10/2020,28465.50,29009.07,28418.63,28823.77
1/3/2020,28638.97,28872.80,28500.36,28634.88
12/31/2019,28654.76,28664.69,28376.49,28538.44
12/27/2019,28491.78,28701.66,28491.78,28645.26
12/20/2019,28191.67,28608.64,28191.67,28455.09
12/13/2019,27987.05,28290.73,27801.80,28135.38
12/6/2019,28109.74,28109.84,27325.13,28015.06
11/29/2019,27917.77,28174.97,27917.77,28051.41
11/22/2019,27993.22,28090.21,27675.28,27875.62
11/15/2019,27580.66,28004.89,27517.67,28004.89
11/8/2019,27402.06,27774.67,27402.06,27681.24
11/1/2019,27040.33,27347.43,26918.29,27347.36
10/25/2019,26852.67,27015.37,26714.34,26958.06
10/18/2019,26766.43,27120.11,26749.18,26770.20
10/11/2019,26502.33,27013.97,26139.80,26816.59
10/4/2019,26852.33,27046.21,25743.46,26573.72
9/27/2019,26851.45,27079.68,26704.96,26820.25
9/20/2019,27146.06,27272.17,26899.15,26935.07
9/13/2019,26866.23,27306.73,26717.05,27219.52
9/6/2019,26198.26,26860.87,25978.22,26797.46
8/30/2019,25826.05,26514.62,25637.43,26403.28
8/23/2019,26020.06,26388.78,25507.18,25628.90
8/16/2019,26169.91,26426.97,25339.60,25886.01
8/9/2019,26259.23,26413.36,25440.39,26287.44
8/2/2019,27192.24,27281.65,26249.22,26485.01
