Date,Open,High,Low,Close
12/31/2020,402.89,402.9,388.81,390.91
12/24/2020,395,403.06,392.38,400.72
12/18/2020,388.78,405.06,384.02,401.49
12/11/2020,385.14,391.03,381.36,384.58
12/4/2020,389.97,390.51,374.04,385.2
11/27/2020,388.6,397.85,387.85,391.12
11/20/2020,387.85,392.05,381.22,385.89
11/13/2020,389.9,390.32,361.22,382.98
11/6/2020,366.17,395.44,365.86,378.82
10/30/2020,383.96,384.37,356.48,360.11
10/23/2020,407.87,408.2,380.46,388.59
10/16/2020,410.14,415.2,400.07,405.89
10/9/2020,400.27,411.63,391.28,407.52
10/2/2020,377.93,398.51,376.17,396.4
9/25/2020,371.19,383.94,362.34,371.13
9/18/2020,379.93,389.54,374.56,377.33
9/11/2020,361.66,376.62,359.27,375.63
9/4/2020,379.88,386.62,359.84,366.49
8/28/2020,387.21,389.16,378.68,379.95
8/21/2020,375.45,385.85,374.9,385.27
8/14/2020,371.47,379.85,370.76,373.6
8/7/2020,360.99,371.01,359.49,370.14
7/31/2020,354.31,368.13,353.49,359.2
7/24/2020,339.36,360.8,338.22,353.31
7/17/2020,322.92,345.99,312.64,341.87
7/10/2020,313.35,322.98,311.75,320.35
7/2/2020,300.45,314.21,296.71,307.71
6/26/2020,308.27,317.33,296.12,297.37
6/19/2020,290.61,325.42,290.17,310.28
6/12/2020,331.71,335.7,291.99,301.51
6/5/2020,300.44,330.52,298.88,326.6
5/29/2020,298.42,317.68,296.11,299.79
5/22/2020,266.23,285.89,266.21,285.59
5/15/2020,264.02,266.48,234.67,253.67
5/8/2020,250.78,270.37,248.56,269.54
5/1/2020,244.56,279.25,244.17,255.94
4/24/2020,238.32,243.24,227.31,241.53
4/17/2020,254.57,254.64,230.15,245.75
4/9/2020,210.81,264.86,210.73,257.18
4/3/2020,227.44,228.69,195.29,198.63
3/27/2020,190.73,241.5,175.41,228.17
3/20/2020,265.65,265.65,179.28,195.01
3/13/2020,337.71,337.71,249.46,268.26
3/6/2020,328.3,358.53,325.66,338.93
2/28/2020,370.52,371.19,319.54,326.2
2/21/2020,377.24,378.51,372.83,375.82
2/14/2020,372.51,377.72,372.39,377.63
2/7/2020,367.29,377.4,364.57,372.58
1/31/2020,367.96,378.47,363.72,365.96
1/24/2020,365.11,376.38,365.11,371.27
1/17/2020,354.44,368.48,354.4,365.38
1/10/2020,347.97,355.67,347.74,354.24
1/3/2020,350.82,350.98,345.29,348.95
12/31/2019,348.62,349.64,346.59,349.42
12/27/2019,351.14,351.44,347.46,348.92
12/20/2019,355.2,355.83,345.28,350.69
12/13/2019,356.79,358.77,353.12,354.45
12/6/2019,357.68,360.75,350.58,357.3
11/29/2019,352.95,362.82,352.95,357.77
11/22/2019,355.12,359.14,352.55,352.66
11/15/2019,347.01,357.77,347.01,354.89
11/8/2019,358.98,358.98,345.91,347.92
11/1/2019,357.72,357.87,346.85,357.82
10/25/2019,354.52,360.68,352.2,356.82
10/18/2019,341.3,353.32,341.02,352.88
10/11/2019,341.18,345.96,337.97,342.07
10/4/2019,340.51,345.14,332.31,342.37
9/27/2019,336.34,343.66,336.23,339.79
9/20/2019,333.56,339.82,332.94,337.63
9/13/2019,329.76,337.51,324.88,334.86
9/6/2019,323.89,331.11,321.87,328.97
8/30/2019,319.23,326.41,315.77,325.4
8/23/2019,320.06,327.08,316.7,317.66
8/16/2019,315.22,319.54,309.79,316.93
8/9/2019,311.52,320.22,306.45,316.43
8/2/2019,319.51,322.66,312.93,314.92
7/26/2019,317.41,320.7,311.35,319.72
7/19/2019,321.89,323.69,316.77,316.77
7/12/2019,320.24,322.34,315.7,321.48
7/5/2019,319.48,324.08,317.04,321.18
6/28/2019,315.46,318.42,307.15,316.94
6/21/2019,316.53,319.6,310.33,315.11
6/14/2019,315.11,317.81,309.36,316.38
6/7/2019,296.19,314.35,296.19,313.87
5/31/2019,304.15,305.3,294.53,295.92
5/24/2019,308.27,309.1,299.22,304.02
5/17/2019,306.14,313.79,302.24,309.32
5/10/2019,312.52,315.54,304.29,309.88
5/3/2019,311.89,316.55,309.35,316.06
4/26/2019,311.02,314.29,304.58,312.02
4/18/2019,310.38,312.52,308.56,311.98
4/12/2019,306.57,310.55,302.11,309.7
4/5/2019,295.57,307.32,294.95,307.2
3/29/2019,286.04,298.18,285.89,294.41
3/22/2019,286.21,290.5,278.51,286.36
3/15/2019,283.22,289.01,283.22,285.58
3/8/2019,284.54,287.06,278.39,283.07
3/1/2019,291.7,292.21,280.34,283.38
2/22/2019,285.46,290.68,284.5,290.16
2/15/2019,275.83,287.73,275.15,286.15
2/8/2019,277.77,278.22,272.7,275.4
2/1/2019,264.6,279.86,262.9,277.93
1/25/2019,263.71,271.51,258.64,266.68
1/18/2019,265.37,267.63,260.84,265.58
1/11/2019,253.92,268.58,252.45,266.7
1/4/2019,240.61,253.34,237.95,253.04
12/31/2018,243.08,244.64,238.75,242.97
12/28/2018,233.24,245.58,227.69,242.05
12/21/2018,246.3,252.6,234.29,234.55
12/14/2018,256.57,257.8,246.75,247.45
12/7/2018,268.23,269.85,252.75,256.31
11/30/2018,261.36,268.62,257,266.1
11/23/2018,258.27,262.05,254.35,259.13
11/16/2018,258.25,263.12,250.13,258.52
11/9/2018,261.79,268.23,258.07,259.3
11/2/2018,249.35,265.62,240.19,261.88
10/26/2018,252.05,253.65,240.57,246.12
10/19/2018,258.24,265.6,250.86,251.7
10/12/2018,278.07,281.05,257.13,259.14
10/5/2018,289.37,289.66,275.7,278.65
9/28/2018,296.42,296.42,287.73,288.07
9/21/2018,302.74,303.54,295.72,297.32
9/14/2018,300.45,304.05,298.16,302.56
9/7/2018,301.54,306.67,298.85,299.61
8/31/2018,305.2,308.31,301.1,302.11
8/24/2018,301.99,310.36,301.93,304.26
8/17/2018,301.47,301.9,295.04,301.41
8/10/2018,302.56,307.23,300.02,301.76
8/3/2018,302.6,304.44,299.21,302.56
7/27/2018,311.35,311.35,295.34,302.21
7/20/2018,307.16,315.59,304.83,310.97
7/13/2018,309.39,311.37,304.86,306.93
7/6/2018,300.64,309.58,298.68,307.92
6/29/2018,302.16,305.07,294.06,302.53
6/22/2018,310.6,311.95,302.17,303.16
6/15/2018,319.18,321.05,309.12,311.99
6/8/2018,309.95,319.54,307.32,319.23
6/1/2018,308.66,312.9,306.44,308.56
5/25/2018,311.26,312.38,304.39,310.49
5/18/2018,314.01,314.47,301.82,310.04
5/11/2018,311.5,315.73,308.31,313.22
5/4/2018,308.21,312.35,300.05,310.77
4/27/2018,310.18,313.73,301.4,307.68
4/20/2018,317.28,324.29,308.72,309.42
4/13/2018,322.4,322.66,314.06,315.59
4/6/2018,318.52,329.82,307.55,321.28
3/29/2018,319.37,324.19,315.93,319.18
3/23/2018,323.48,328.76,315.91,316.17
3/16/2018,327.3,331.29,321.33,324.56
3/9/2018,315.23,327.25,314.95,327.21
3/2/2018,330.26,333.87,311.37,316.95
2/23/2018,333.65,334.87,326,329.36
2/16/2018,323.48,337.22,322.52,334.34
2/9/2018,333.15,337.79,313.56,320.99
2/2/2018,360.87,360.92,334.93,336.35
1/26/2018,364.57,369.15,359.35,361.96
1/19/2018,360.92,363.88,354.49,363.76
1/12/2018,356.72,361.08,352.94,359.61
1/5/2018,346.44,356.75,344.65,356.26
12/29/2017,343.35,348.23,343.35,345
12/22/2017,342.11,345.08,339.69,343.16
12/15/2017,343.15,343.34,336.64,339.97
12/8/2017,346.01,347.7,335.58,343.05
12/1/2017,336.59,346.18,333.93,342.05
11/24/2017,330.19,336.84,330.19,336.39
11/17/2017,321.63,331.29,321.39,329.93
11/10/2017,317.43,323.89,316.76,322.48
11/3/2017,315.75,322.35,315.02,317.2
10/27/2017,310.36,317.06,307.64,316.65
10/20/2017,301.7,309.31,301.37,308.68
10/13/2017,302.45,303.18,300.38,301.53
10/6/2017,296.45,302.48,295.5,302.28
9/29/2017,285.52,296.74,284.45,295.93
9/22/2017,283.44,286.68,283.44,286.07
9/15/2017,285.53,287.1,281.5,283.02
9/8/2017,282.57,285.11,277.95,284.38
9/1/2017,276.73,284.21,274.47,283
8/25/2017,274.81,277.07,274.17,276.12
8/18/2017,279.99,282.9,274.84,275.08
8/11/2017,286.61,286.8,277.32,278.49
8/4/2017,283.94,286.6,282.73,286.51
7/28/2017,286.23,287.33,281.77,283.53
7/21/2017,285.39,287.12,281.96,287.09
7/14/2017,283.31,287.04,281.39,285.41
7/7/2017,284.03,284.42,279.49,283.55
6/30/2017,284.37,285.25,279,283.01
6/23/2017,281.8,286.32,281.3,283.73
6/16/2017,276.42,283.78,275.88,280.63
6/9/2017,278,278.12,273.75,276.83
6/2/2017,272.31,278.79,270.15,278.11
5/26/2017,273.81,276.45,271.87,272.8
5/19/2017,270.6,274.72,267.79,273.38
5/12/2017,269.89,273.26,268.22,270.11
5/5/2017,268.92,270.06,266.04,269.94
4/28/2017,272.41,272.95,268.09,268.38
4/21/2017,266.28,271.95,266.28,269.79
4/13/2017,266.17,269.29,265.33,265.54
4/7/2017,267.34,267.76,262.5,266.24
3/31/2017,259.87,267.58,258.63,266.77
3/24/2017,267.38,267.62,260.75,262.46
3/17/2017,265.67,269.99,261.74,267.43
3/10/2017,262.31,267.09,260.78,265.59
3/3/2017,256.74,266.72,256.71,263.86
2/24/2017,254.35,258.7,253.56,256.82
2/17/2017,255.68,257.47,252.08,253.46
2/10/2017,251.08,255.22,247.97,254.71
2/3/2017,250.4,251.9,247.51,251.68
1/27/2017,241.78,257.61,241.22,252.17
1/20/2017,240.32,243.83,239.28,242.02
1/13/2017,240.05,242.16,236.41,240.92
1/6/2017,240.06,244.91,237.07,240.3
