Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,5425.620117,5536.520020,5397.990234,5521.060059,5521.060059,7284200000
2017-01-09,5527.580078,5584.259766,5496.819824,5574.120117,5574.120117,9064280000
2017-01-16,5555.160156,5574.350098,5527.220215,5555.330078,5555.330078,7005940000
2017-01-23,5546.640137,5669.609863,5522.689941,5660.779785,5660.779785,8931180000
2017-01-30,5635.859863,5666.839844,5576.089844,5666.770020,5666.770020,9938750000
2017-02-06,5656.950195,5743.430176,5649.390137,5734.129883,5734.129883,9420660000
2017-02-13,5753.189941,5838.580078,5748.740234,5838.580078,5838.580078,9714620000
2017-02-20,5850.200195,5867.890137,5800.549805,5845.310059,5845.310059,7380960000
2017-02-27,5835.040039,5911.790039,5817.220215,5870.750000,5870.750000,10303560000
2017-03-06,5846.419922,5872.600098,5812.080078,5861.729980,5861.729980,9298850000
2017-03-13,5863.479980,5912.609863,5831.879883,5901.000000,5901.000000,10393340000
2017-03-20,5898.810059,5928.060059,5781.799805,5828.740234,5828.740234,9399030000
2017-03-27,5776.330078,5927.810059,5769.390137,5911.740234,5911.740234,8856100000
2017-04-03,5917.319824,5936.390137,5855.509766,5877.810059,5877.810059,9410370000
2017-04-10,5883.430176,5907.850098,5805.149902,5805.149902,5805.149902,6717670000
2017-04-17,5821.549805,5926.229980,5818.200195,5910.520020,5910.520020,8235930000
2017-04-24,5979.959961,6074.040039,5970.250000,6047.609863,6047.609863,9530050000
2017-05-01,6067.560059,6102.720215,6053.279785,6100.759766,6100.759766,10041420000
2017-05-08,6100.660156,6133.000000,6075.680176,6121.229980,6121.229980,9731360000
2017-05-15,6128.109863,6170.160156,5996.810059,6083.700195,6083.700195,10270530000
2017-05-22,6098.250000,6217.339844,6097.240234,6210.189941,6210.189941,8458660000
2017-05-29,6204.180176,6308.759766,6164.069824,6305.799805,6305.799805,7674510000
2017-06-05,6305.470215,6341.700195,6137.680176,6207.919922,6207.919922,10751430000
2017-06-12,6153.560059,6237.529785,6107.850098,6151.759766,6151.759766,11604840000
2017-06-19,6196.850098,6269.370117,6186.939941,6265.250000,6265.250000,13320270000
2017-06-26,6292.729980,6303.450195,6087.810059,6140.419922,6140.419922,10844330000
2017-07-03,6173.290039,6177.359863,6081.959961,6153.080078,6153.080078,6670850000
2017-07-10,6156.029785,6321.759766,6141.830078,6312.470215,6312.470215,8743170000
2017-07-17,6320.350098,6398.259766,6291.069824,6387.750000,6387.750000,8861190000
2017-07-24,6387.819824,6460.839844,6318.620117,6374.680176,6374.680176,10054160000
2017-07-31,6394.689941,6396.589844,6313.430176,6351.560059,6351.560059,9869510000
2017-08-07,6361.060059,6423.350098,6214.410156,6256.560059,6256.560059,9688080000
2017-08-14,6306.109863,6374.560059,6193.379883,6216.529785,6216.529785,9115610000
2017-08-21,6216.319824,6308.720215,6177.189941,6265.640137,6265.640137,7782320000
2017-08-28,6286.009766,6449.649902,6228.729980,6435.330078,6435.330078,8300600000
2017-09-04,6414.819824,6426.509766,6334.589844,6360.189941,6360.189941,7579320000
2017-09-11,6411.180176,6464.270020,6410.709961,6448.470215,6448.470215,10157310000
2017-09-18,6460.100098,6477.770020,6400.810059,6426.919922,6426.919922,9209850000
2017-09-25,6403.109863,6497.979980,6343.959961,6495.959961,6495.959961,9919050000
2017-10-02,6506.080078,6590.180176,6484.140137,6590.180176,6590.180176,9539770000
2017-10-09,6597.370117,6616.580078,6561.779785,6605.799805,6605.799805,8916530000
2017-10-16,6622.549805,6640.029785,6558.529785,6629.049805,6629.049805,8682700000
2017-10-23,6641.569824,6708.129883,6517.930176,6701.259766,6701.259766,10411640000
2017-10-30,6693.770020,6765.140137,6677.149902,6764.439941,6764.439941,10630550000
2017-11-06,6763.299805,6795.520020,6687.279785,6750.939941,6750.939941,10726360000
2017-11-13,6727.390137,6806.669922,6667.310059,6782.790039,6782.790039,9918020000
2017-11-20,6789.279785,6890.020020,6779.490234,6889.160156,6889.160156,6164970000
2017-11-27,6889.910156,6914.189941,6737.160156,6847.589844,6847.589844,11013050000
2017-12-04,6897.129883,6899.229980,6734.129883,6840.080078,6840.080078,10194080000
2017-12-11,6847.640137,6945.819824,6844.879883,6936.580078,6936.580078,11160360000
2017-12-18,6980.399902,7003.890137,6935.419922,6959.959961,6959.959961,9492200000
2017-12-25,6928.919922,6955.379883,6903.390137,6903.390137,6903.390137,5607170000
2018-01-01,6937.649902,7137.040039,6924.080078,7136.560059,7136.560059,8230050000
2018-01-08,7135.379883,7265.259766,7111.520020,7261.060059,7261.060059,10345020000
2018-01-15,7307.189941,7336.379883,7205.930176,7336.379883,7336.379883,8688580000
2018-01-22,7338.040039,7505.770020,7332.810059,7505.770020,7505.770020,10703550000
2018-01-29,7484.470215,7500.609863,7238.180176,7240.950195,7240.950195,11645170000
2018-02-05,7165.959961,7277.359863,6630.669922,6874.490234,6874.490234,14567570000
2018-02-12,6936.680176,7303.259766,6879.689941,7239.470215,7239.470215,10460370000
2018-02-19,7209.029785,7338.640137,7194.839844,7337.390137,7337.390137,7693110000
2018-02-26,7373.299805,7438.089844,7084.830078,7257.870117,7257.870117,11214240000
2018-03-05,7222.890137,7560.810059,7205.310059,7560.810059,7560.810059,10996190000
2018-03-12,7581.040039,7637.270020,7463.189941,7481.990234,7481.990234,11984910000
2018-03-19,7419.200195,7421.229980,6992.669922,6992.669922,6992.669922,11154770000
2018-03-26,7125.200195,7255.540039,6901.069824,7063.450195,7063.450195,9834190000
2018-04-02,7016.169922,7112.379883,6805.959961,6915.109863,6915.109863,11507960000
2018-04-09,6971.450195,7183.620117,6944.959961,7106.649902,7106.649902,10018570000
2018-04-16,7153.870117,7319.580078,7115.850098,7146.129883,7146.129883,9561780000
2018-04-23,7173.990234,7197.149902,6926.970215,7119.799805,7119.799805,10146160000
2018-04-30,7133.950195,7228.259766,6991.140137,7209.620117,7209.620117,10485390000
2018-05-07,7241.819824,7417.669922,7224.700195,7402.879883,7402.879883,10607680000
2018-05-14,7429.450195,7458.419922,7320.970215,7354.339844,7354.339844,10250450000
2018-05-21,7406.339844,7452.850098,7334.620117,7433.850098,7433.850098,9729140000
2018-05-28,7398.509766,7557.379883,7354.290039,7554.330078,7554.330078,8899370000
2018-06-04,7570.080078,7697.410156,7561.200195,7645.509766,7645.509766,10703070000
2018-06-11,7647.240234,7768.600098,7642.870117,7746.379883,7746.379883,11420580000
2018-06-18,7692.959961,7806.600098,7635.729980,7692.819824,7692.819824,13008360000
2018-06-25,7631.120117,7639.729980,7419.560059,7510.299805,7510.299805,11229400000
2018-07-02,7451.899902,7695.810059,7443.100098,7688.390137,7688.390137,6422590000
2018-07-09,7731.740234,7843.520020,7696.580078,7825.979980,7825.979980,9006480000
2018-07-16,7831.740234,7867.149902,7749.609863,7820.200195,7820.200195,9055510000
2018-07-23,7806.930176,7933.310059,7698.959961,7737.419922,7737.419922,10116760000
2018-07-30,7735.270020,7824.060059,7604.240234,7812.009766,7812.009766,10743060000
2018-08-06,7809.540039,7923.350098,7801.879883,7839.109863,7839.109863,10705500000
2018-08-13,7848.000000,7888.660156,7732.689941,7816.330078,7816.330078,10009220000
2018-08-20,7834.370117,7949.709961,7787.899902,7945.979980,7945.979980,8949190000
2018-08-27,7989.640137,8133.299805,7976.600098,8109.540039,8109.540039,10153560000
